Supermercado,Fecha,Categoría,Marca,Nombre,Precio,Precio Promedio Pag
Cugat,2026-04-26 00:02:21,Harinas Levaduras y Grasas,Harina,"Harina Linderos Todo Uso Sin Polvo, 1kg.",749,2329.47
Cugat,2026-04-26 00:02:21,Harinas Levaduras y Grasas,Harina,"Harina Linderos Todo Uso Sin Polvo, 1kg.",749,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Tucapel Blue Bonnet G2, 900gr.",1190,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Tucapel Blue Bonnet G2, 900gr.",1190,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Harina,"Harina Mariposa de Primera Todo Uso, 25kg.",18990,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Harina,"Harina Mariposa de Primera Todo Uso, 25kg.",18990,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Atún,"Atún Lomito en Aceite Otuna, 140g neto (91g drenado)",1290,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Atún,"Atún Lomito en Aceite Otuna, 140g neto (91g drenado)",1290,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Atún,"Atún Lomito en Agua Otuna, 140g neto (91g drenado)",1290,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Atún,"Atún Lomito en Agua Otuna, 140g neto (91g drenado)",1290,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Jurel,"Jurel en Conserva Aruna, 425g neto (drenado 300g).",1090,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Jurel,"Jurel en Conserva Aruna, 425g neto (drenado 300g).",1090,2329.47
Cugat,2026-04-26 00:02:21,Huevos,Huevo,"Huevo Copita Grande Blanco, Bandeja 30 Unid.",7790,2329.47
Cugat,2026-04-26 00:02:21,Huevos,Huevo,"Huevo Copita Grande Blanco, Bandeja 30 Unid.",7790,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Pelado Los Granos, 1kg",2590,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Pelado Los Granos, 1kg",2590,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Tórtola Los Granos, 1kg",3790,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Tórtola Los Granos, 1kg",3790,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Carne Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Carne Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Mostaza,"Mostaza Don Juan Doypack, 500g",1390,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Mostaza,"Mostaza Don Juan Doypack, 500g",1390,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ketchup,"Ketchup Don Juan, 240g",1390,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ketchup,"Ketchup Don Juan, 240g",1390,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ají,"Ají Chileno Crema Don Juan, 900gr.",2290,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ají,"Ají Chileno Crema Don Juan, 900gr.",2290,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ají,"Ají Pebre Crema Traverso Doypack, 500gr.",2990,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Ají,"Ají Pebre Crema Traverso Doypack, 500gr.",2990,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Verduras Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Verduras Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Costilla Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Caldo,"Caldo en Polvo Sabor Costilla Maggi, 35g",699,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Garbanzos,"Garbanzos Los Granos sin Piel, 1kg",2090,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Garbanzos,"Garbanzos Los Granos sin Piel, 1kg",2090,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arvejas,"Arvejas Verdes Partidas Los Granos, 1kg",1690,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arvejas,"Arvejas Verdes Partidas Los Granos, 1kg",1690,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Negro Los Granos, 1kg",1990,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Negro Los Granos, 1kg",1990,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Hallado Los Granos, 1kg",2490,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Poroto,"Poroto Hallado Los Granos, 1kg",2490,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Harina,"Harina Yanine con Polvos de Hornear, 1kg",749,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Harina,"Harina Yanine con Polvos de Hornear, 1kg",749,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Porotos,"Porotos Aruna Carilla Cocido, 570g neto (drenado 400g)",1490,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Porotos,"Porotos Aruna Carilla Cocido, 570g neto (drenado 400g)",1490,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Lenteja,"Lenteja Cocida Aruna Frasco, 580ml (drenado 400g)",1290,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Lenteja,"Lenteja Cocida Aruna Frasco, 580ml (drenado 400g)",1290,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Los Granos G2, 1Kg",890,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Los Granos G2, 1Kg",890,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Fósforos,"Fósforos Copihue, Pack 10 Unid.",1890,2329.47
Cugat,2026-04-26 00:02:21,Despensa,Fósforos,"Fósforos Copihue, Pack 10 Unid.",1890,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Bonanza American Thai G2, 1Kg",890,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Bonanza American Thai G2, 1Kg",890,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Sal,"Sal de Mesa Fina Lobos, 1kg",729,2329.47
Cugat,2026-04-26 00:02:21,Aderezos y Condimentos,Sal,"Sal de Mesa Fina Lobos, 1kg",729,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Miraflores G1 Grano Largo Lam, 1Kg",1990,2329.47
Cugat,2026-04-26 00:02:21,"Arroz, Legumbres y Semillas",Arroz,"Arroz Miraflores G1 Grano Largo Lam, 1Kg",1990,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Garbanzos,"Garbanzos Esmeralda Listos Para Servir, 400g neto (drenado 240g)",1390,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Garbanzos,"Garbanzos Esmeralda Listos Para Servir, 400g neto (drenado 240g)",1390,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Lentejas,"Lentejas Listas para Servir Esmeralda, 400g neto (drenado 240g)",1390,2329.47
Cugat,2026-04-26 00:02:21,Conservas y Enlatados,Lentejas,"Lentejas Listas para Servir Esmeralda, 400g neto (drenado 240g)",1390,2329.47
